#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
A,lf-git,"is an extensive terminal file manager that everyone likes."
,bc,"is used for a dropdown calculator."
,xcompmgr,"is for transparency and removing screen-tearing."
,xorg-xprop,"is a tool for detecting window properties."
,arandr,"allows the user to customize monitor arrangements."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,sxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in LARBS."
,neovim,"a tidier vim with some useful features"
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,newsboat,"is a terminal RSS client."
A,brave-bin,"is an elegant browser with built-in adblocking, tor and other features."
,ntfs-3g,"allows accessing NTFS partitions."
,pulseaudio-alsa,"is the audio system."
,pulsemixer,"is an audio controller."
,pamixer,"is a command-line audio interface."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
,maim,"can take quick screenshots at your request."
,abook,"is an offline addressbook usable by neomutt."
,unclutter,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,lynx,"is a terminal browser."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,highlight,"can highlight code output."
A,zsh-fast-syntax-highlighting,"provides syntax highlighting in the shell."
A,task-spooler,"queues commands or files for download."
A,simple-mtpfs,"enables the mounting of cell phones."
A,htop-vim-git,"is a graphical and colorful system monitor."
G,https://github.com/theblackfly/dwmblocks.git,"serves as the modular status bar."
G,https://github.com/theblackfly/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/theblackfly/st.git,"is my custom build of suckless's terminal emulator."
G,https://github.com/theblackfly/dwm.git,"is the window manager."
G,https://github.com/theblackfly/slock.git,"allows you to lock your computer, and quickly unlock with your password."
A,mutt-wizard-git,"is a light-weight terminal-based email system."
,ispell,"for spell checking."
A,light-git,"for changing screen brightness levels."
,texlive-most,"for typesetting documents with LaTeX."
,texlab,"is an implementation of the Language Server Protocol for LaTeX."
,biber,"for referencing documents with LaTeX."
,noto-fonts-emoji,"is an emoji font."
A,ubuntu-latex-fonts-git,"enables you to use the original Ubuntu Font Familiy with LaTeX."
A,nerd-fonts-ubuntu-mono,"provides the popular Ubuntu fonts."
A,nerd-fonts-noto-sans-regular-complete,"is the display font used by treemacs inside doom-emacs."
A,latex-pgfpltos,"for including plots in LaTeX documents."
,github-cli,"lets you use Github from the command line."
,python-pip,"is a Python package manager."
,python-pyqt5,"provide a set of Python bindings for the Qt5 GUI toolkit."
,firefox,"is yet another web browser."
,bluez,"provides the Bluetooth protocol stack."
,bluez-utils,"provides the bluetoothctl utility to manage Bluetooth devices."
A,pulseaudio-modules-bt-git,"provides aptX support with compatible bluetooth headsets."
,htop,"is a process viewer for Linux."
,pandoc,"is a general markup converter."
,cups,"is the standards-based open source printing system developed by Apple."
A,tllocalmgr,"a shell and command-line utility to manage TeXLive on Arch Linux."
,tmux,"is a terminal multiplexer."
,sxhkd,"(Simple X HotKey Daemon) provides a simple notation for mapping multiple shortcuts to multiple commands in parallel."
A,ofono,"provides HSP profile for bluetooth headsets."
xorg-xev,"to print contents of X events."
,qrencode,"is a C library for encoding data in a QR Code symbol."
,aspell-en,"is an English dictionary for aspell."
P,neovim,"enables the Python3 provider in (n)vim."
,xorg-xev,"prints contents of X events."
P,virtualenvwrapper,"virtualenvwrapper is a set of extensions to Ian Bicking’s virtualenv tool."
A,visual-studio-code-bin,"is a code editor developed by Microsoft."
A,mu,"is a Maildir indexer/searcher and Emacs client (mu4e)."
,notmuch,"is another mail indexer."
A,cronie,"is a Daemon that runs specified programs at scheduled times and related tools."
A,pam-gnupg,"unlocks GnuPG keys on login."
,ripgrep,"is a search tool that combines the usability of ag with the raw speed of grep."
,fd,"is a simple, fast and user-friendly alternative to find."
,shellcheck,"is a shell script analysis tool."
A,tzupdate,"sets the system timezone based on IP geolocation."
,ntp,"is the Network Time Protocol reference implementation."
A,stacer,"is a user-friendly front-end for optimizing, monitoring, and cleaning Linux."
